raw_model,input_mode,n_conditions,mean_absolute_error
Qwen/Qwen2.5-VL-32B-Instruct,pure-text,7,39.463
Qwen/Qwen2.5-VL-32B-Instruct,pure-video,7,42.842
Qwen/Qwen2.5-VL-32B-Instruct,split,7,34.820
Qwen/Qwen2.5-VL-3B-Instruct,pure-text,7,45.653
Qwen/Qwen2.5-VL-3B-Instruct,pure-video,7,49.939
Qwen/Qwen2.5-VL-3B-Instruct,split,7,32.439
Qwen/Qwen2.5-VL-7B-Instruct,pure-text,7,32.723
Qwen/Qwen2.5-VL-7B-Instruct,pure-video,7,51.813
Qwen/Qwen2.5-VL-7B-Instruct,split,7,36.852
google/gemma-4-12B-it,pure-text,7,53.663
google/gemma-4-12B-it,pure-video,7,47.884
google/gemma-4-12B-it,split,7,42.796
