model,input_format,n_conditions,mae,pearson_r,pearson_p,spearman_rho,spearman_p
Qwen/Qwen2.5-VL-32B-Instruct,text,20,18.081150,0.556520,0.010820,0.579473,0.007413
Qwen/Qwen2.5-VL-32B-Instruct,video,20,17.085950,0.546353,0.012688,0.524019,0.017711
Qwen/Qwen2.5-VL-32B-Instruct,split,20,17.276700,0.604520,0.004752,0.664546,0.001392
Qwen/Qwen2.5-VL-3B-Instruct,text,20,18.889000,0.456222,0.043192,0.414429,0.069257
Qwen/Qwen2.5-VL-3B-Instruct,video,20,21.754950,,,,
Qwen/Qwen2.5-VL-3B-Instruct,split,20,17.958450,0.643829,0.002189,0.606292,0.004599
Qwen/Qwen2.5-VL-7B-Instruct,text,20,20.267300,0.608732,0.004394,0.629399,0.002945
Qwen/Qwen2.5-VL-7B-Instruct,video,20,24.898350,0.314541,0.176799,0.298193,0.201608
Qwen/Qwen2.5-VL-7B-Instruct,split,20,18.518350,0.770063,0.000071,0.748118,0.000149
google/gemma-4-12B-it,text,20,24.931850,0.636407,0.002554,0.635092,0.002624
google/gemma-4-12B-it,video,20,32.748250,0.292473,0.210810,0.272422,0.245234
google/gemma-4-12B-it,split,20,31.263800,0.180235,0.447019,0.242462,0.303021
